"#chr" "region_id" "TSS" "start" "end" "contexts" "original_data"
"chr2" "ENSG00000003137" 72147862 70240000 73720000 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000003137.univariate_twas_weights.rds"
"chr7" "ENSG00000003147" 8262687 5760000 9262687 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000003147.univariate_twas_weights.rds"
"chr16" "ENSG00000003249" 90019890 85040000 90338345 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000003249.univariate_twas_weights.rds"
"chr2" "ENSG00000003393" 201782112 200700267 202782112 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000003393.univariate_twas_weights.rds"
"chr2" "ENSG00000003400" 201182898 199880000 202520000 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000003400.univariate_twas_weights.rds"
"chr2" "ENSG00000003402" 201116154 199880000 202520000 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000003402.univariate_twas_weights.rds"
"chr2" "ENSG00000003436" 187565760 186464230 189640000 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000003436.univariate_twas_weights.rds"
"chr2" "ENSG00000003509" 37231631 36231630 39240000 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000003509.univariate_twas_weights.rds"
"chr3" "ENSG00000003756" 50088919 46680000 51119021 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000003756.univariate_twas_weights.rds"
"chr8" "ENSG00000003987" 17413351 16296794 18413351 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000003987.univariate_twas_weights.rds"
"chr8" "ENSG00000003989" 17497088 16497087 18570573 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000003989.univariate_twas_weights.rds"
"chr7" "ENSG00000004059" 127588403 124920000 128591700 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000004059.univariate_twas_weights.rds"
"chr17" "ENSG00000004139" 28364356 22760000 32440000 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000004139.univariate_twas_weights.rds"
"chr17" "ENSG00000004142" 28357527 22760000 29357527 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000004142.univariate_twas_weights.rds"
"chr3" "ENSG00000004399" 129606676 128040000 130606676 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000004399.univariate_twas_weights.rds"
"chr1" "ENSG00000004455" 33080996 32007940 36440000 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000004455.univariate_twas_weights.rds"
"chr4" "ENSG00000004468" 15778275 12680000 17680000 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000004468.univariate_twas_weights.rds"
"chr12" "ENSG00000004478" 2794970 1600000 4840000 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000004478.univariate_twas_weights.rds"
"chr1" "ENSG00000004487" 23019443 20520000 24083689 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000004487.univariate_twas_weights.rds"
"chr3" "ENSG00000004534" 49940007 46680000 51100045 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000004534.univariate_twas_weights.rds"
"chr17" "ENSG00000004660" 3893053 2280000 5160000 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000004660.univariate_twas_weights.rds"
"chr12" "ENSG00000004700" 21501669 19080000 22680000 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000004700.univariate_twas_weights.rds"
"chr7" "ENSG00000004766" 93232340 92232339 95880000 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000004766.univariate_twas_weights.rds"
"chr19" "ENSG00000004776" 35758079 32720000 43520000 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000004776.univariate_twas_weights.rds"
"chr19" "ENSG00000004777" 35774532 32720000 43520000 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000004777.univariate_twas_weights.rds"
"chr16" "ENSG00000004779" 23596316 22440000 25240000 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000004779.univariate_twas_weights.rds"
"chr7" "ENSG00000004799" 95596516 93080000 96596516 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000004799.univariate_twas_weights.rds"
"chr3" "ENSG00000004838" 50345732 49341110 51920000 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000004838.univariate_twas_weights.rds"
"chr7" "ENSG00000004864" 96322147 95120220 98880000 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000004864.univariate_twas_weights.rds"
"chr7" "ENSG00000004866" 116953238 115953237 118320000 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000004866.univariate_twas_weights.rds"
"chr17" "ENSG00000004897" 47189422 46117703 50760000 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000004897.univariate_twas_weights.rds"
"chr17" "ENSG00000004939" 44268135 42560000 46680000 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000004939.univariate_twas_weights.rds"
"chr7" "ENSG00000004948" 93574730 92424486 95880000 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000004948.univariate_twas_weights.rds"
"chr17" "ENSG00000004975" 7234517 4720000 9760000 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000004975.univariate_twas_weights.rds"
"chr16" "ENSG00000005001" 2858170 0 5120000 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000005001.univariate_twas_weights.rds"
"chr19" "ENSG00000005007" 18831959 17040000 27240000 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000005007.univariate_twas_weights.rds"
"chr7" "ENSG00000005020" 26995239 25120000 28240000 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000005020.univariate_twas_weights.rds"
"chr4" "ENSG00000005059" 109560212 108560211 110688719 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000005059.univariate_twas_weights.rds"
"chr7" "ENSG00000005075" 102478907 98840000 103478907 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000005075.univariate_twas_weights.rds"
"chr17" "ENSG00000005100" 5468982 4440917 8400000 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000005100.univariate_twas_weights.rds"
"chr7" "ENSG00000005108" 11832198 8280000 12832198 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000005108.univariate_twas_weights.rds"
"chr17" "ENSG00000005156" 34980512 31960000 36520000 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000005156.univariate_twas_weights.rds"
"chr12" "ENSG00000005175" 47706030 45120000 48960000 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000005175.univariate_twas_weights.rds"
"chr16" "ENSG00000005189" 20806429 19806428 21849665 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000005189.univariate_twas_weights.rds"
"chr16" "ENSG00000005194" 57447420 55440000 58760000 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000005194.univariate_twas_weights.rds"
"chr19" "ENSG00000005206" 2328615 0 5800000 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000005206.univariate_twas_weights.rds"
"chr9" "ENSG00000005238" 35116341 33240000 36600000 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000005238.univariate_twas_weights.rds"
"chr17" "ENSG00000005243" 48038030 46320000 50760000 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000005243.univariate_twas_weights.rds"
"chr7" "ENSG00000005249" 107044705 106040000 108600000 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000005249.univariate_twas_weights.rds"
"chr16" "ENSG00000005339" 3880713 0 5120000 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000005339.univariate_twas_weights.rds"
"chr17" "ENSG00000005379" 58328795 56800000 59328795 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000005379.univariate_twas_weights.rds"
"chr17" "ENSG00000005381" 58280935 56800000 59280935 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000005381.univariate_twas_weights.rds"
"chr7" "ENSG00000005421" 95324532 93080000 96324532 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000005421.univariate_twas_weights.rds"
"chr2" "ENSG00000005436" 75710985 74600000 79080000 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000005436.univariate_twas_weights.rds"
"chr2" "ENSG00000005448" 74421678 73240000 75425755 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000005448.univariate_twas_weights.rds"
"chr7" "ENSG00000005469" 87345664 85840000 88399794 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000005469.univariate_twas_weights.rds"
"chr7" "ENSG00000005471" 87480435 85840000 88480435 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000005471.univariate_twas_weights.rds"
"chr7" "ENSG00000005483" 105014190 104014189 106115019 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000005483.univariate_twas_weights.rds"
"chr7" "ENSG00000005486" 75842602 74760000 80080000 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000005486.univariate_twas_weights.rds"
"chr16" "ENSG00000005513" 981770 0 5120000 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000005513.univariate_twas_weights.rds"
"chr6" "ENSG00000005700" 82247754 79840000 83840000 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000005700.univariate_twas_weights.rds"
"chr11" "ENSG00000005801" 3379222 0 6200000 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000005801.univariate_twas_weights.rds"
"chr13" "ENSG00000005810" 77327094 76044657 78327094 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000005810.univariate_twas_weights.rds"
"chr13" "ENSG00000005812" 77027195 75320000 78027195 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000005812.univariate_twas_weights.rds"
"chr16" "ENSG00000005844" 30472658 28360000 34000000 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000005844.univariate_twas_weights.rds"
"chr17" "ENSG00000005882" 50094737 46320000 51280000 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000005882.univariate_twas_weights.rds"
"chr17" "ENSG00000005884" 50055968 46320000 51280000 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000005884.univariate_twas_weights.rds"
"chr17" "ENSG00000005961" 44389649 42560000 46680000 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000005961.univariate_twas_weights.rds"
"chr7" "ENSG00000005981" 95478444 93080000 96540233 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000005981.univariate_twas_weights.rds"
"chr16" "ENSG00000006007" 19522123 18160000 20522123 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000006007.univariate_twas_weights.rds"
"chr19" "ENSG00000006015" 18588796 17040000 27240000 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000006015.univariate_twas_weights.rds"
"chr19" "ENSG00000006016" 18607741 17040000 27240000 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000006016.univariate_twas_weights.rds"
"chr17" "ENSG00000006025" 47821834 46320000 50760000 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000006025.univariate_twas_weights.rds"
"chr17" "ENSG00000006042" 32927910 31927909 36520000 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000006042.univariate_twas_weights.rds"
"chr17" "ENSG00000006047" 7294639 4720000 9760000 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000006047.univariate_twas_weights.rds"
"chr17" "ENSG00000006062" 45317029 42560000 46680000 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000006062.univariate_twas_weights.rds"
"chr11" "ENSG00000006071" 17476879 14480000 18960000 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000006071.univariate_twas_weights.rds"
"chr16" "ENSG00000006116" 24256335 23256334 25362412 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000006116.univariate_twas_weights.rds"
"chr11" "ENSG00000006118" 60924460 57280000 61937159 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000006118.univariate_twas_weights.rds"
"chr17" "ENSG00000006125" 35578046 31960000 36726413 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000006125.univariate_twas_weights.rds"
"chr7" "ENSG00000006128" 97732084 95720000 98880000 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000006128.univariate_twas_weights.rds"
"chr16" "ENSG00000006194" 3263800 0 5120000 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000006194.univariate_twas_weights.rds"
"chr16" "ENSG00000006210" 57372477 55440000 58760000 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000006210.univariate_twas_weights.rds"
"chr17" "ENSG00000006282" 50543058 46320000 51555852 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000006282.univariate_twas_weights.rds"
"chr17" "ENSG00000006283" 50560715 46320000 51627474 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000006283.univariate_twas_weights.rds"
"chr16" "ENSG00000006327" 3018445 0 5120000 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000006327.univariate_twas_weights.rds"
"chr7" "ENSG00000006377" 97005553 95720000 98880000 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000006377.univariate_twas_weights.rds"
"chr14" "ENSG00000006432" 70809534 69120000 72520000 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000006432.univariate_twas_weights.rds"
"chr7" "ENSG00000006451" 39623565 38400000 40708120 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000006451.univariate_twas_weights.rds"
"chr7" "ENSG00000006453" 98401090 95720000 99401090 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000006453.univariate_twas_weights.rds"
"chr7" "ENSG00000006459" 140176983 139084746 141176983 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000006459.univariate_twas_weights.rds"
"chr7" "ENSG00000006468" 13991425 12400000 15080000 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000006468.univariate_twas_weights.rds"
"chr7" "ENSG00000006530" 141551278 140400000 144360000 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000006530.univariate_twas_weights.rds"
"chr11" "ENSG00000006534" 68008578 67008577 71880000 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000006534.univariate_twas_weights.rds"
